19133,13306,6.0
14293,18824,6.0
10210,2084,5.0
20459,22480,1.0
8275,18067,1.0
21234,7342,8.0
4550,1244,5.0
20433,17922,6.0
11837,13377,6.0
13557,7793,8.0
20912,20349,3.0
1560,15179,2.0
6735,1980,6.0
16718,5943,1.0
3215,4307,1.0
13009,17617,6.0
12407,16530,8.0
14364,9190,5.0
19540,2772,7.0
22645,3250,4.0
5706,17200,2.0
18747,15565,5.0
19259,11123,2.0
10730,8882,3.0
14384,1686,7.0
1529,3415,1.0
22396,2356,5.0
19926,4147,10.0
8342,10873,7.0
12847,6882,1.0
753,7786,6.0
14211,18859,10.0
12038,18747,8.0
6661,17840,3.0
8438,6108,9.0
22474,9789,5.0
14135,17781,5.0
180,10045,6.0
16692,2760,10.0
10100,12298,2.0
15243,18857,3.0
10395,20380,7.0
21890,19916,2.0
718,239,8.0
13881,17611,4.0
16324,9395,2.0
19689,4610,5.0
13700,3984,7.0
9185,2881,5.0
9774,12099,8.0
5304,11271,10.0
18592,17857,8.0
548,22687,10.0
12954,16111,5.0
3665,19660,2.0
8433,13703,10.0
10123,13863,4.0
18876,1115,4.0
19332,9297,2.0
5353,2814,1.0
1095,12066,7.0
13286,21615,4.0
20698,11922,8.0
21641,2526,5.0
7042,11427,4.0
9223,2306,8.0
5111,19389,9.0
13633,13512,2.0
11978,16115,10.0
19558,11425,8.0
5889,4063,5.0
9116,17625,7.0
22386,20092,7.0
10235,20548,3.0
7493,4172,2.0
18682,22112,5.0
17933,15940,8.0
12062,5100,10.0
10493,18178,6.0
11726,11502,10.0
11708,15489,8.0
8910,3297,6.0
7431,13856,3.0
6663,18664,6.0
5792,14092,3.0
8726,18805,6.0
13940,7425,8.0
16911,16370,8.0
15185,2450,9.0
18318,12770,4.0
8746,16215,10.0
4790,6785,10.0
14380,22119,7.0
9507,9392,10.0
6592,15361,9.0
22348,13340,1.0
16191,589,5.0
7266,11745,9.0
22291,8691,10.0
9761,20589,5.0
16929,1632,6.0
8371,7220,9.0
6785,10820,2.0
12756,21269,6.0
9598,14045,3.0
9248,4409,3.0
22746,4557,5.0
2968,13945,9.0
10044,3982,7.0
17189,21947,2.0
6428,6176,3.0
1829,2326,9.0
13932,19087,9.0
16497,20925,3.0
60,6563,6.0
8053,6014,9.0
17022,16320,9.0
6700,8331,10.0
8078,17114,10.0
3727,10278,10.0
14113,10288,8.0
16690,5946,4.0
16330,5661,4.0
14085,10131,2.0
8186,6061,3.0
3507,5487,10.0
951,13808,9.0
22008,5274,7.0
20621,6043,2.0
9251,4747,6.0
14648,7285,2.0
